block,barnacles,limpets,plot,location,count,timediff
D,no,con,34,BP,3,32.7202381
E,no,con,35,BP,2,32.7202381
F,no,con,36,BP,22,32.7202381
A,yes,in,1,BP,1,42.14285714
B,yes,in,2,BP,10,42.14285714
C,yes,in,3,BP,1,42.14285714
D,yes,in,4,BP,0,42.14285714
E,yes,in,5,BP,0,42.14285714
F,yes,in,6,BP,7,42.14285714
A,yes,out,7,BP,3,42.14285714
B,yes,out,8,BP,11,42.14285714
C,yes,out,9,BP,6,42.14285714
D,yes,out,10,BP,3,42.14285714
E,yes,out,11,BP,3,42.14285714
F,yes,out,12,BP,10,42.14285714
A,yes,con,13,BP,1,42.14285714
B,yes,con,14,BP,13,42.14285714
C,yes,con,15,BP,8,42.14285714
D,yes,con,16,BP,5,42.14285714
E,yes,con,17,BP,6,42.14285714
F,yes,con,18,BP,6,42.14285714
A,no,in,19,BP,1,42.14285714
B,no,in,20,BP,1,42.14285714
C,no,in,21,BP,3,42.14285714
D,no,in,22,BP,0,42.14285714
E,no,in,23,BP,2,42.14285714
F,no,in,24,BP,2,42.14285714
A,no,out,25,BP,2,42.14285714
B,no,out,26,BP,13,42.14285714
C,no,out,27,BP,9,42.14285714
D,no,out,28,BP,1,42.14285714
E,no,out,29,BP,4,42.14285714
F,no,out,30,BP,2,42.14285714
A,no,con,31,BP,6,42.14285714
B,no,con,32,BP,6,42.14285714
C,no,con,33,BP,3,42.14285714
D,no,con,34,BP,6,42.14285714
E,no,con,35,BP,4,42.14285714
F,no,con,36,BP,7,42.14285714
A,yes,in,1,BP,150,50.71428571
B,yes,in,2,BP,26,50.71428571
C,yes,in,3,BP,7,50.71428571
D,yes,in,4,BP,4,50.71428571
E,yes,in,5,BP,18,50.71428571
F,yes,in,6,BP,54,50.71428571
A,yes,out,7,BP,96,50.71428571
B,yes,out,8,BP,175,50.71428571
C,yes,out,9,BP,146,50.71428571
D,yes,out,10,BP,6,50.71428571
E,yes,out,11,BP,2,50.71428571
F,yes,out,12,BP,238,50.71428571
A,yes,con,13,BP,21,50.71428571
B,yes,con,14,BP,170,50.71428571
C,yes,con,15,BP,62,50.71428571
D,yes,con,16,BP,3,50.71428571
E,yes,con,17,BP,23,50.71428571
F,yes,con,18,BP,54,50.71428571
A,no,in,19,BP,0,50.71428571
B,no,in,20,BP,17,50.71428571
C,no,in,21,BP,8,50.71428571
D,no,in,22,BP,0,50.71428571
E,no,in,23,BP,0,50.71428571
F,no,in,24,BP,29,50.71428571
A,no,out,25,BP,76,50.71428571
B,no,out,26,BP,235,50.71428571
C,no,out,27,BP,197,50.71428571
D,no,out,28,BP,8,50.71428571
E,no,out,29,BP,23,50.71428571
F,no,out,30,BP,109,50.71428571
A,no,con,31,BP,6,50.71428571
B,no,con,32,BP,19,50.71428571
C,no,con,33,BP,4,50.71428571
D,no,con,34,BP,3,50.71428571
E,no,con,35,BP,0,50.71428571
F,no,con,36,BP,13,50.71428571
A,yes,in,1,BP,3,56.71428571
B,yes,in,2,BP,19,56.71428571
C,yes,in,3,BP,5,56.71428571
D,yes,in,4,BP,3,56.71428571
E,yes,in,5,BP,10,56.71428571
F,yes,in,6,BP,7,56.71428571
A,yes,out,7,BP,6,56.71428571
B,yes,out,8,BP,56,56.71428571
C,yes,out,9,BP,44,56.71428571
D,yes,out,10,BP,3,56.71428571
E,yes,out,11,BP,15,56.71428571
F,yes,out,12,BP,4,56.71428571
A,yes,con,13,BP,3,56.71428571
B,yes,con,14,BP,51,56.71428571
C,yes,con,15,BP,30,56.71428571
D,yes,con,16,BP,2,56.71428571
E,yes,con,17,BP,12,56.71428571
F,yes,con,18,BP,8,56.71428571
A,no,in,19,BP,0,56.71428571
B,no,in,20,BP,3,56.71428571
C,no,in,21,BP,10,56.71428571
D,no,in,22,BP,0,56.71428571
E,no,in,23,BP,0,56.71428571
F,no,in,24,BP,2,56.71428571
A,no,out,25,BP,1,56.71428571
B,no,out,26,BP,36,56.71428571
C,no,out,27,BP,4,56.71428571
D,no,out,28,BP,2,56.71428571
E,no,out,29,BP,3,56.71428571
F,no,out,30,BP,20,56.71428571
A,no,con,31,BP,0,56.71428571
B,no,con,32,BP,1,56.71428571
C,no,con,33,BP,4,56.71428571
D,no,con,34,BP,3,56.71428571
E,no,con,35,BP,0,56.71428571
F,no,con,36,BP,3,56.71428571
A,no,out,1,PA,4,19.2797619
A,no,out,2,PA,3,19.2797619
A,no,out,3,PA,1,19.2797619
A,no,out,4,PA,0,19.2797619
A,no,out,5,PA,0,19.2797619
A,no,out,6,PA,0,19.2797619
A,no,out,1,PA,0,21.56547619
A,no,out,2,PA,0,21.56547619
A,no,out,3,PA,0,21.56547619
A,no,out,4,PA,0,21.56547619
A,no,out,5,PA,0,21.56547619
A,no,out,6,PA,1,21.56547619
A,no,out,1,PA,0,25.99404762
A,no,out,2,PA,1,25.99404762
A,no,out,3,PA,0,25.99404762
A,no,out,4,PA,0,25.99404762
A,no,out,5,PA,0,25.99404762
A,no,out,6,PA,0,25.99404762
A,no,out,1,PA,0,34.2797619
A,no,out,2,PA,3,34.2797619
A,no,out,3,PA,0,34.2797619
A,no,out,4,PA,0,34.2797619
A,no,out,5,PA,0,34.2797619
A,no,out,6,PA,0,34.2797619
A,no,out,1,PA,1,38.70833333
A,no,out,2,PA,0,38.70833333
A,no,out,3,PA,0,38.70833333
A,no,out,4,PA,0,38.70833333
A,no,out,5,PA,0,38.70833333
A,no,out,6,PA,0,38.70833333
A,no,out,1,PA,0,42.70833333
A,no,out,2,PA,2,42.70833333
A,no,out,3,PA,0,42.70833333
A,no,out,4,PA,0,42.70833333
A,no,out,5,PA,0,42.70833333
A,no,out,6,PA,0,42.70833333
A,no,out,1,PA,0,47.42857143
A,no,out,2,PA,0,47.42857143
A,no,out,3,PA,0,47.42857143
A,no,out,4,PA,0,47.42857143
A,no,out,5,PA,0,47.42857143
A,no,out,6,PA,0,47.42857143
A,no,out,1,PA,0,51
A,no,out,2,PA,2,51
A,no,out,3,PA,0,51
A,no,out,4,PA,1,51
A,no,out,5,PA,0,51
A,no,out,6,PA,1,51
A,no,out,1,PA,1,55.71428571
A,no,out,2,PA,0,55.71428571
A,no,out,3,PA,0,55.71428571
A,no,out,4,PA,0,55.71428571
A,no,out,5,PA,0,55.71428571
A,no,out,6,PA,0,55.71428571
A,no,out,1,PA,0,62
A,no,out,2,PA,0,62
A,no,out,3,PA,0,62
A,no,out,4,PA,0,62
A,no,out,5,PA,0,62
A,no,out,6,PA,0,62
A,no,con,7,PA,1,19.2797619
A,no,con,8,PA,8,19.2797619
A,no,con,9,PA,3,19.2797619
A,no,con,10,PA,1,19.2797619
A,no,con,11,PA,0,19.2797619
A,no,con,12,PA,0,19.2797619
A,no,con,7,PA,0,21.56547619
A,no,con,8,PA,0,21.56547619
A,no,con,9,PA,0,21.56547619
A,no,con,10,PA,2,21.56547619
A,no,con,11,PA,0,21.56547619
A,no,con,12,PA,0,21.56547619
A,no,con,7,PA,2,25.99404762
A,no,con,8,PA,2,25.99404762
A,no,con,9,PA,0,25.99404762
A,no,con,10,PA,0,25.99404762
A,no,con,11,PA,0,25.99404762
A,no,con,12,PA,0,25.99404762
A,no,con,7,PA,0,34.2797619
A,no,con,8,PA,2,34.2797619
A,no,con,9,PA,0,34.2797619
A,no,con,10,PA,0,34.2797619
A,no,con,11,PA,0,34.2797619
A,no,con,12,PA,0,34.2797619
A,no,con,7,PA,0,38.70833333
A,no,con,8,PA,0,38.70833333
A,no,con,9,PA,0,38.70833333
A,no,con,10,PA,0,38.70833333
A,no,con,11,PA,1,38.70833333
A,no,con,12,PA,0,38.70833333
A,no,con,7,PA,0,42.70833333
A,no,con,8,PA,0,42.70833333
A,no,con,9,PA,0,42.70833333
A,no,con,10,PA,0,42.70833333
A,no,con,11,PA,0,42.70833333
A,no,con,12,PA,0,42.70833333
A,no,con,7,PA,0,47.42857143
A,no,con,8,PA,1,47.42857143
A,no,con,9,PA,0,47.42857143
A,no,con,10,PA,0,47.42857143
A,no,con,11,PA,0,47.42857143
A,no,con,12,PA,0,47.42857143
A,no,con,7,PA,0,51
A,no,con,8,PA,1,51
A,no,con,9,PA,0,51
A,no,con,10,PA,0,51
A,no,con,11,PA,0,51
A,no,con,12,PA,0,51
A,no,con,7,PA,0,55.71428571
A,no,con,8,PA,0,55.71428571
A,no,con,9,PA,0,55.71428571
A,no,con,10,PA,0,55.71428571
A,no,con,11,PA,0,55.71428571
A,no,con,12,PA,0,55.71428571
A,no,con,7,PA,9,62
A,no,con,8,PA,0,62
A,no,con,9,PA,0,62
A,no,con,10,PA,0,62
A,no,con,11,PA,0,62
A,no,con,12,PA,0,62
A,no,in,13,PA,5,19.2797619
A,no,in,14,PA,0,19.2797619
A,no,in,15,PA,0,19.2797619
A,no,in,16,PA,0,19.2797619
A,no,in,17,PA,1,19.2797619
A,no,in,18,PA,1,19.2797619
A,no,in,13,PA,0,21.56547619
A,no,in,14,PA,0,21.56547619
A,no,in,15,PA,0,21.56547619
A,no,in,16,PA,0,21.56547619
A,no,in,17,PA,0,21.56547619
A,no,in,18,PA,0,21.56547619
A,no,in,13,PA,0,25.99404762
A,no,in,14,PA,0,25.99404762
A,no,in,15,PA,0,25.99404762
A,no,in,16,PA,0,25.99404762
A,no,in,17,PA,1,25.99404762
A,no,in,18,PA,0,25.99404762
A,no,in,13,PA,0,34.2797619
A,no,in,14,PA,1,34.2797619
A,no,in,15,PA,1,34.2797619
A,no,in,16,PA,5,34.2797619
A,no,in,17,PA,3,34.2797619
A,no,in,18,PA,1,34.2797619
A,no,in,13,PA,6,38.70833333
A,no,in,14,PA,4,38.70833333
A,no,in,15,PA,0,38.70833333
A,no,in,16,PA,0,38.70833333
A,no,in,17,PA,1,38.70833333
A,no,in,18,PA,1,38.70833333
A,no,in,13,PA,1,42.70833333
A,no,in,14,PA,0,42.70833333
A,no,in,15,PA,1,42.70833333
A,no,in,16,PA,1,42.70833333
A,no,in,17,PA,0,42.70833333
A,no,in,18,PA,1,42.70833333
A,no,in,13,PA,0,47.42857143
A,no,in,14,PA,0,47.42857143
A,no,in,15,PA,0,47.42857143
A,no,in,16,PA,0,47.42857143
A,no,in,17,PA,0,47.42857143
A,no,in,18,PA,0,47.42857143
A,no,in,13,PA,1,51
A,no,in,14,PA,0,51
A,no,in,15,PA,0,51
A,no,in,16,PA,1,51
A,no,in,17,PA,0,51
A,no,in,18,PA,0,51
A,no,in,13,PA,1,55.71428571
A,no,in,14,PA,0,55.71428571
A,no,in,15,PA,1,55.71428571
A,no,in,16,PA,0,55.71428571
A,no,in,17,PA,0,55.71428571
A,no,in,18,PA,0,55.71428571
A,no,in,13,PA,37,62
A,no,in,14,PA,6,62
A,no,in,15,PA,1,62
A,no,in,16,PA,0,62
A,no,in,17,PA,0,62
A,no,in,18,PA,2,62
A,yes,out,19,PA,0,19.2797619
A,yes,out,20,PA,0,19.2797619
A,yes,out,21,PA,2,19.2797619
A,yes,out,22,PA,0,19.2797619
A,yes,out,19,PA,1,21.56547619
A,yes,out,20,PA,1,21.56547619
A,yes,out,21,PA,1,21.56547619
A,yes,out,22,PA,1,21.56547619
A,yes,out,19,PA,0,25.99404762
A,yes,out,20,PA,2,25.99404762
A,yes,out,21,PA,1,25.99404762
A,yes,out,22,PA,0,25.99404762
A,yes,out,19,PA,0,34.2797619
A,yes,out,20,PA,0,34.2797619
A,yes,out,21,PA,0,34.2797619
A,yes,out,22,PA,2,34.2797619
A,yes,out,19,PA,0,38.70833333
A,yes,out,20,PA,0,38.70833333
A,yes,out,21,PA,1,38.70833333
A,yes,out,22,PA,0,38.70833333
A,yes,out,19,PA,0,42.70833333
A,yes,out,20,PA,0,42.70833333
A,yes,out,21,PA,0,42.70833333
A,yes,out,22,PA,1,42.70833333
A,yes,out,19,PA,0,47.42857143
A,yes,out,20,PA,0,47.42857143
A,yes,out,21,PA,0,47.42857143
A,yes,out,22,PA,0,47.42857143
A,yes,out,19,PA,0,51
A,yes,out,20,PA,0,51
A,yes,out,21,PA,0,51
A,yes,out,22,PA,0,51
A,yes,out,19,PA,0,55.71428571
A,yes,out,20,PA,1,55.71428571
A,yes,out,21,PA,0,55.71428571
A,yes,out,22,PA,0,55.71428571
A,yes,out,19,PA,0,62
A,yes,out,20,PA,0,62
A,yes,out,21,PA,0,62
A,yes,out,22,PA,0,62
A,yes,in,23,PA,6,19.2797619
A,yes,in,24,PA,1,19.2797619
A,yes,in,25,PA,5,19.2797619
A,yes,in,26,PA,3,19.2797619
A,yes,in,27,PA,4,19.2797619
A,yes,in,28,PA,0,19.2797619
A,yes,in,23,PA,0,21.56547619
A,yes,in,24,PA,0,21.56547619
A,yes,in,25,PA,0,21.56547619
A,yes,in,26,PA,0,21.56547619
A,yes,in,27,PA,0,21.56547619
A,yes,in,28,PA,0,21.56547619
A,yes,in,23,PA,0,25.99404762
A,yes,in,24,PA,0,25.99404762
A,yes,in,25,PA,0,25.99404762
A,yes,in,26,PA,0,25.99404762
A,yes,in,27,PA,0,25.99404762
A,yes,in,28,PA,0,25.99404762
A,yes,in,23,PA,1,34.2797619
A,yes,in,24,PA,0,34.2797619
A,yes,in,25,PA,0,34.2797619
A,yes,in,26,PA,0,34.2797619
A,yes,in,27,PA,0,34.2797619
A,yes,in,28,PA,0,34.2797619
A,yes,in,23,PA,0,38.70833333
A,yes,in,24,PA,0,38.70833333
A,yes,in,25,PA,0,38.70833333
A,yes,in,26,PA,0,38.70833333
A,yes,in,27,PA,0,38.70833333
A,yes,in,28,PA,0,38.70833333
A,yes,in,23,PA,1,42.70833333
A,yes,in,24,PA,0,42.70833333
A,yes,in,25,PA,0,42.70833333
A,yes,in,26,PA,0,42.70833333
A,yes,in,27,PA,0,42.70833333
A,yes,in,28,PA,0,42.70833333
A,yes,in,23,PA,1,47.42857143
A,yes,in,24,PA,0,47.42857143
A,yes,in,25,PA,0,47.42857143
A,yes,in,26,PA,0,47.42857143
A,yes,in,27,PA,0,47.42857143
A,yes,in,28,PA,0,47.42857143
A,yes,in,23,PA,0,51
A,yes,in,24,PA,0,51
A,yes,in,25,PA,0,51
A,yes,in,26,PA,0,51
A,yes,in,27,PA,0,51
A,yes,in,28,PA,0,51
A,yes,in,23,PA,0,55.71428571
A,yes,in,24,PA,0,55.71428571
A,yes,in,25,PA,0,55.71428571
A,yes,in,26,PA,0,55.71428571
A,yes,in,27,PA,0,55.71428571
A,yes,in,28,PA,0,55.71428571
A,yes,in,23,PA,18,62
A,yes,in,24,PA,0,62
A,yes,in,25,PA,0,62
A,yes,in,26,PA,0,62
A,yes,in,27,PA,0,62
A,yes,in,28,PA,0,62
A,yes,con,29,PA,2,19.2797619
A,yes,con,30,PA,6,19.2797619
A,yes,con,31,PA,1,19.2797619
A,yes,con,32,PA,0,19.2797619
A,yes,con,33,PA,0,19.2797619
A,yes,con,34,PA,2,19.2797619
A,yes,con,29,PA,0,21.56547619
A,yes,con,30,PA,3,21.56547619
A,yes,con,31,PA,0,21.56547619
A,yes,con,32,PA,0,21.56547619
A,yes,con,33,PA,1,21.56547619
A,yes,con,34,PA,2,21.56547619
A,yes,con,29,PA,0,25.99404762
A,yes,con,30,PA,4,25.99404762
A,yes,con,31,PA,0,25.99404762
A,yes,con,32,PA,0,25.99404762
A,yes,con,33,PA,0,25.99404762
A,yes,con,34,PA,0,25.99404762
A,yes,con,29,PA,0,34.2797619
A,yes,con,30,PA,0,34.2797619
A,yes,con,31,PA,0,34.2797619
A,yes,con,32,PA,0,34.2797619
A,yes,con,33,PA,0,34.2797619
A,yes,con,34,PA,1,34.2797619
A,yes,con,29,PA,0,38.70833333
A,yes,con,30,PA,0,38.70833333
A,yes,con,31,PA,0,38.70833333
A,yes,con,32,PA,0,38.70833333
A,yes,con,33,PA,0,38.70833333
A,yes,con,34,PA,0,38.70833333
A,yes,con,29,PA,0,42.70833333
A,yes,con,30,PA,0,42.70833333
A,yes,con,31,PA,0,42.70833333
A,yes,con,32,PA,0,42.70833333
A,yes,con,33,PA,0,42.70833333
A,yes,con,34,PA,0,42.70833333
A,yes,con,29,PA,0,47.42857143
A,yes,con,30,PA,0,47.42857143
A,yes,con,31,PA,0,47.42857143
A,yes,con,32,PA,0,47.42857143
A,yes,con,33,PA,0,47.42857143
A,yes,con,34,PA,0,47.42857143
A,yes,con,29,PA,0,51
A,yes,con,30,PA,0,51
A,yes,con,31,PA,0,51
A,yes,con,32,PA,1,51
A,yes,con,33,PA,0,51
A,yes,con,34,PA,2,51
A,yes,con,29,PA,0,55.71428571
A,yes,con,30,PA,0,55.71428571
A,yes,con,31,PA,0,55.71428571
A,yes,con,32,PA,0,55.71428571
A,yes,con,33,PA,0,55.71428571
A,yes,con,34,PA,0,55.71428571
A,yes,con,29,PA,0,62
A,yes,con,30,PA,0,62
A,yes,con,31,PA,0,62
A,yes,con,32,PA,0,62
A,yes,con,33,PA,0,62
A,yes,con,34,PA,1,62
