block,barnacles,limpets,plot,location,count,timediff
A,yes,in,1,BP,0,0
B,yes,in,2,BP,0,0
C,yes,in,3,BP,0,0
D,yes,in,4,BP,0,0
E,yes,in,5,BP,0,0
F,yes,in,6,BP,0,0
A,yes,out,7,BP,0,0
B,yes,out,8,BP,0,0
C,yes,out,9,BP,0,0
D,yes,out,10,BP,0,0
E,yes,out,11,BP,0,0
F,yes,out,12,BP,0,0
A,yes,con,13,BP,0,0
B,yes,con,14,BP,0,0
C,yes,con,15,BP,0,0
D,yes,con,16,BP,0,0
E,yes,con,17,BP,0,0
F,yes,con,18,BP,0,0
A,no,in,19,BP,0,0
B,no,in,20,BP,0,0
C,no,in,21,BP,0,0
D,no,in,22,BP,0,0
E,no,in,23,BP,0,0
F,no,in,24,BP,0,0
A,no,out,25,BP,0,0
B,no,out,26,BP,0,0
C,no,out,27,BP,0,0
D,no,out,28,BP,0,0
E,no,out,29,BP,0,0
F,no,out,30,BP,0,0
A,no,con,31,BP,0,0
B,no,con,32,BP,0,0
C,no,con,33,BP,0,0
D,no,con,34,BP,0,0
E,no,con,35,BP,0,0
F,no,con,36,BP,0,0
A,yes,in,1,BP,13,3.714285714
B,yes,in,2,BP,9,3.714285714
C,yes,in,3,BP,16,3.714285714
D,yes,in,4,BP,1,3.714285714
E,yes,in,5,BP,9,3.714285714
F,yes,in,6,BP,5,3.714285714
A,yes,out,7,BP,7,3.714285714
B,yes,out,8,BP,11,3.714285714
C,yes,out,9,BP,0,3.714285714
D,yes,out,10,BP,2,3.714285714
E,yes,out,11,BP,5,3.714285714
F,yes,out,12,BP,8,3.714285714
A,yes,con,13,BP,16,3.714285714
B,yes,con,14,BP,22,3.714285714
C,yes,con,15,BP,9,3.714285714
D,yes,con,16,BP,15,3.714285714
E,yes,con,17,BP,22,3.714285714
F,yes,con,18,BP,12,3.714285714
A,no,in,19,BP,4,3.714285714
B,no,in,20,BP,6,3.714285714
C,no,in,21,BP,2,3.714285714
D,no,in,22,BP,0,3.714285714
E,no,in,23,BP,0,3.714285714
F,no,in,24,BP,1,3.714285714
A,no,out,25,BP,2,3.714285714
B,no,out,26,BP,4,3.714285714
C,no,out,27,BP,2,3.714285714
D,no,out,28,BP,2,3.714285714
E,no,out,29,BP,1,3.714285714
F,no,out,30,BP,5,3.714285714
A,no,con,31,BP,3,3.714285714
B,no,con,32,BP,6,3.714285714
C,no,con,33,BP,3,3.714285714
D,no,con,34,BP,6,3.714285714
E,no,con,35,BP,3,3.714285714
F,no,con,36,BP,4,3.714285714
A,yes,in,1,BP,1,8.142857143
B,yes,in,2,BP,9,8.142857143
C,yes,in,3,BP,16,8.142857143
D,yes,in,4,BP,2,8.142857143
E,yes,in,5,BP,7,8.142857143
F,yes,in,6,BP,5,8.142857143
A,yes,out,7,BP,5,8.142857143
B,yes,out,8,BP,13,8.142857143
C,yes,out,9,BP,2,8.142857143
D,yes,out,10,BP,2,8.142857143
E,yes,out,11,BP,3,8.142857143
F,yes,out,12,BP,3,8.142857143
A,yes,con,13,BP,12,8.142857143
B,yes,con,14,BP,39,8.142857143
C,yes,con,15,BP,7,8.142857143
D,yes,con,16,BP,5,8.142857143
E,yes,con,17,BP,6,8.142857143
F,yes,con,18,BP,8,8.142857143
A,no,in,19,BP,0,8.142857143
B,no,in,20,BP,6,8.142857143
C,no,in,21,BP,3,8.142857143
D,no,in,22,BP,1,8.142857143
E,no,in,23,BP,0,8.142857143
F,no,in,24,BP,2,8.142857143
A,no,out,25,BP,0,8.142857143
B,no,out,26,BP,4,8.142857143
C,no,out,27,BP,1,8.142857143
D,no,out,28,BP,3,8.142857143
E,no,out,29,BP,0,8.142857143
F,no,out,30,BP,2,8.142857143
A,no,con,31,BP,1,8.142857143
B,no,con,32,BP,4,8.142857143
C,no,con,33,BP,1,8.142857143
D,no,con,34,BP,5,8.142857143
E,no,con,35,BP,1,8.142857143
F,no,con,36,BP,5,8.142857143
A,yes,in,1,BP,2,12.14285714
B,yes,in,2,BP,3,12.14285714
C,yes,in,3,BP,4,12.14285714
D,yes,in,4,BP,1,12.14285714
E,yes,in,5,BP,5,12.14285714
F,yes,in,6,BP,3,12.14285714
A,yes,out,7,BP,1,12.14285714
B,yes,out,8,BP,0,12.14285714
C,yes,out,9,BP,1,12.14285714
D,yes,out,10,BP,1,12.14285714
E,yes,out,11,BP,1,12.14285714
F,yes,out,12,BP,1,12.14285714
A,yes,con,13,BP,7,12.14285714
B,yes,con,14,BP,8,12.14285714
C,yes,con,15,BP,6,12.14285714
D,yes,con,16,BP,3,12.14285714
E,yes,con,17,BP,2,12.14285714
F,yes,con,18,BP,7,12.14285714
A,no,in,19,BP,0,12.14285714
B,no,in,20,BP,1,12.14285714
C,no,in,21,BP,2,12.14285714
D,no,in,22,BP,1,12.14285714
E,no,in,23,BP,0,12.14285714
F,no,in,24,BP,0,12.14285714
A,no,out,25,BP,0,12.14285714
B,no,out,26,BP,2,12.14285714
C,no,out,27,BP,0,12.14285714
D,no,out,28,BP,0,12.14285714
E,no,out,29,BP,1,12.14285714
F,no,out,30,BP,0,12.14285714
A,no,con,31,BP,0,12.14285714
B,no,con,32,BP,1,12.14285714
C,no,con,33,BP,1,12.14285714
D,no,con,34,BP,2,12.14285714
E,no,con,35,BP,0,12.14285714
F,no,con,36,BP,4,12.14285714
A,yes,in,1,BP,0,16.14285714
B,yes,in,2,BP,7,16.14285714
C,yes,in,3,BP,1,16.14285714
D,yes,in,4,BP,0,16.14285714
E,yes,in,5,BP,4,16.14285714
F,yes,in,6,BP,3,16.14285714
A,yes,out,7,BP,0,16.14285714
B,yes,out,8,BP,0,16.14285714
C,yes,out,9,BP,1,16.14285714
D,yes,out,10,BP,1,16.14285714
E,yes,out,11,BP,2,16.14285714
F,yes,out,12,BP,2,16.14285714
A,yes,con,13,BP,0,16.14285714
B,yes,con,14,BP,6,16.14285714
C,yes,con,15,BP,3,16.14285714
D,yes,con,16,BP,2,16.14285714
E,yes,con,17,BP,2,16.14285714
F,yes,con,18,BP,8,16.14285714
A,no,in,19,BP,0,16.14285714
B,no,in,20,BP,1,16.14285714
C,no,in,21,BP,2,16.14285714
D,no,in,22,BP,1,16.14285714
E,no,in,23,BP,0,16.14285714
F,no,in,24,BP,1,16.14285714
A,no,out,25,BP,0,16.14285714
B,no,out,26,BP,0,16.14285714
C,no,out,27,BP,0,16.14285714
D,no,out,28,BP,0,16.14285714
E,no,out,29,BP,1,16.14285714
F,no,out,30,BP,0,16.14285714
A,no,con,31,BP,0,16.14285714
B,no,con,32,BP,2,16.14285714
C,no,con,33,BP,0,16.14285714
D,no,con,34,BP,1,16.14285714
E,no,con,35,BP,0,16.14285714
F,no,con,36,BP,8,16.14285714
A,yes,in,1,BP,1,24.29166667
B,yes,in,2,BP,1,24.29166667
C,yes,in,3,BP,1,24.29166667
D,yes,in,4,BP,1,24.29166667
E,yes,in,5,BP,2,24.29166667
F,yes,in,6,BP,2,24.29166667
A,yes,out,7,BP,1,24.29166667
B,yes,out,8,BP,1,24.29166667
C,yes,out,9,BP,2,24.29166667
D,yes,out,10,BP,3,24.29166667
E,yes,out,11,BP,6,24.29166667
F,yes,out,12,BP,4,24.29166667
A,yes,con,13,BP,5,24.29166667
B,yes,con,14,BP,1,24.29166667
C,yes,con,15,BP,4,24.29166667
D,yes,con,16,BP,0,24.29166667
E,yes,con,17,BP,0,24.29166667
F,yes,con,18,BP,9,24.29166667
A,no,in,19,BP,1,24.29166667
B,no,in,20,BP,0,24.29166667
C,no,in,21,BP,1,24.29166667
D,no,in,22,BP,0,24.29166667
E,no,in,23,BP,0,24.29166667
F,no,in,24,BP,6,24.29166667
A,no,out,25,BP,0,24.29166667
B,no,out,26,BP,2,24.29166667
C,no,out,27,BP,0,24.29166667
D,no,out,28,BP,0,24.29166667
E,no,out,29,BP,1,24.29166667
F,no,out,30,BP,1,24.29166667
A,no,con,31,BP,5,24.29166667
B,no,con,32,BP,4,24.29166667
C,no,con,33,BP,1,24.29166667
D,no,con,34,BP,1,24.29166667
E,no,con,35,BP,0,24.29166667
F,no,con,36,BP,5,24.29166667
A,yes,in,1,BP,0,32.7202381
B,yes,in,2,BP,11,32.7202381
C,yes,in,3,BP,2,32.7202381
D,yes,in,4,BP,2,32.7202381
E,yes,in,5,BP,0,32.7202381
F,yes,in,6,BP,9,32.7202381
A,yes,out,7,BP,5,32.7202381
B,yes,out,8,BP,13,32.7202381
C,yes,out,9,BP,6,32.7202381
D,yes,out,10,BP,2,32.7202381
E,yes,out,11,BP,8,32.7202381
F,yes,out,12,BP,21,32.7202381
A,yes,con,13,BP,2,32.7202381
B,yes,con,14,BP,8,32.7202381
C,yes,con,15,BP,9,32.7202381
D,yes,con,16,BP,2,32.7202381
E,yes,con,17,BP,4,32.7202381
F,yes,con,18,BP,19,32.7202381
A,no,in,19,BP,0,32.7202381
B,no,in,20,BP,4,32.7202381
C,no,in,21,BP,3,32.7202381
D,no,in,22,BP,0,32.7202381
E,no,in,23,BP,0,32.7202381
F,no,in,24,BP,17,32.7202381
A,no,out,25,BP,0,32.7202381
B,no,out,26,BP,13,32.7202381
C,no,out,27,BP,2,32.7202381
D,no,out,28,BP,0,32.7202381
E,no,out,29,BP,1,32.7202381
F,no,out,30,BP,21,32.7202381
A,no,con,31,BP,6,32.7202381
B,no,con,32,BP,12,32.7202381
C,no,con,33,BP,5,32.7202381
