"","block","barnacles","limpets","plot","count","timediff"
"1","A","yes","in","1",0,0
"2","B","yes","in","2",0,0
"3","C","yes","in","3",0,0
"4","D","yes","in","4",0,0
"5","E","yes","in","5",0,0
"6","F","yes","in","6",0,0
"7","A","yes","out","7",0,0
"8","B","yes","out","8",0,0
"9","C","yes","out","9",0,0
"10","D","yes","out","10",0,0
"11","E","yes","out","11",0,0
"12","F","yes","out","12",0,0
"13","A","yes","con","13",0,0
"14","B","yes","con","14",0,0
"15","C","yes","con","15",0,0
"16","D","yes","con","16",0,0
"17","E","yes","con","17",0,0
"18","F","yes","con","18",0,0
"19","A","no","in","19",0,0
"20","B","no","in","20",0,0
"21","C","no","in","21",0,0
"22","D","no","in","22",0,0
"23","E","no","in","23",0,0
"24","F","no","in","24",0,0
"25","A","no","out","25",0,0
"26","B","no","out","26",0,0
"27","C","no","out","27",0,0
"28","D","no","out","28",0,0
"29","E","no","out","29",0,0
"30","F","no","out","30",0,0
"31","A","no","con","31",0,0
"32","B","no","con","32",0,0
"33","C","no","con","33",0,0
"34","D","no","con","34",0,0
"35","E","no","con","35",0,0
"36","F","no","con","36",0,0
"37","A","yes","in","1",2,3.71428571428571
"38","B","yes","in","2",4,3.71428571428571
"39","C","yes","in","3",0,3.71428571428571
"40","D","yes","in","4",0,3.71428571428571
"41","E","yes","in","5",4,3.71428571428571
"42","F","yes","in","6",17,3.71428571428571
"43","A","yes","out","7",1,3.71428571428571
"44","B","yes","out","8",4,3.71428571428571
"45","C","yes","out","9",5,3.71428571428571
"46","D","yes","out","10",1,3.71428571428571
"47","E","yes","out","11",0,3.71428571428571
"48","F","yes","out","12",27,3.71428571428571
"49","A","yes","con","13",1,3.71428571428571
"50","B","yes","con","14",10,3.71428571428571
"51","C","yes","con","15",1,3.71428571428571
"52","D","yes","con","16",0,3.71428571428571
"53","E","yes","con","17",0,3.71428571428571
"54","F","yes","con","18",24,3.71428571428571
"55","A","no","in","19",0,3.71428571428571
"56","B","no","in","20",13,3.71428571428571
"57","C","no","in","21",1,3.71428571428571
"58","D","no","in","22",0,3.71428571428571
"59","E","no","in","23",0,3.71428571428571
"60","F","no","in","24",9,3.71428571428571
"61","A","no","out","25",1,3.71428571428571
"62","B","no","out","26",5,3.71428571428571
"63","C","no","out","27",0,3.71428571428571
"64","D","no","out","28",0,3.71428571428571
"65","E","no","out","29",0,3.71428571428571
"66","F","no","out","30",52,3.71428571428571
"67","A","no","con","31",2,3.71428571428571
"68","B","no","con","32",11,3.71428571428571
"69","C","no","con","33",0,3.71428571428571
"70","D","no","con","34",0,3.71428571428571
"71","E","no","con","35",0,3.71428571428571
"72","F","no","con","36",18,3.71428571428571
"73","A","yes","in","1",1,8.14285714285714
"74","B","yes","in","2",14,8.14285714285714
"75","C","yes","in","3",4,8.14285714285714
"76","D","yes","in","4",0,8.14285714285714
"77","E","yes","in","5",1,8.14285714285714
"78","F","yes","in","6",38,8.14285714285714
"79","A","yes","out","7",2,8.14285714285714
"80","B","yes","out","8",18,8.14285714285714
"81","C","yes","out","9",12,8.14285714285714
"82","D","yes","out","10",1,8.14285714285714
"83","E","yes","out","11",2,8.14285714285714
"84","F","yes","out","12",46,8.14285714285714
"85","A","yes","con","13",5,8.14285714285714
"86","B","yes","con","14",25,8.14285714285714
"87","C","yes","con","15",8,8.14285714285714
"88","D","yes","con","16",0,8.14285714285714
"89","E","yes","con","17",1,8.14285714285714
"90","F","yes","con","18",73,8.14285714285714
"91","A","no","in","19",0,8.14285714285714
"92","B","no","in","20",31,8.14285714285714
"93","C","no","in","21",8,8.14285714285714
"94","D","no","in","22",0,8.14285714285714
"95","E","no","in","23",0,8.14285714285714
"96","F","no","in","24",9,8.14285714285714
"97","A","no","out","25",0,8.14285714285714
"98","B","no","out","26",19,8.14285714285714
"99","C","no","out","27",3,8.14285714285714
"100","D","no","out","28",4,8.14285714285714
"101","E","no","out","29",0,8.14285714285714
"102","F","no","out","30",50,8.14285714285714
"103","A","no","con","31",0,8.14285714285714
"104","B","no","con","32",29,8.14285714285714
"105","C","no","con","33",4,8.14285714285714
"106","D","no","con","34",0,8.14285714285714
"107","E","no","con","35",0,8.14285714285714
"108","F","no","con","36",25,8.14285714285714
"109","A","yes","in","1",0,12.1428571428571
"110","B","yes","in","2",4,12.1428571428571
"111","C","yes","in","3",5,12.1428571428571
"112","D","yes","in","4",0,12.1428571428571
"113","E","yes","in","5",0,12.1428571428571
"114","F","yes","in","6",17,12.1428571428571
"115","A","yes","out","7",1,12.1428571428571
"116","B","yes","out","8",3,12.1428571428571
"117","C","yes","out","9",4,12.1428571428571
"118","D","yes","out","10",1,12.1428571428571
"119","E","yes","out","11",2,12.1428571428571
"120","F","yes","out","12",11,12.1428571428571
"121","A","yes","con","13",1,12.1428571428571
"122","B","yes","con","14",10,12.1428571428571
"123","C","yes","con","15",8,12.1428571428571
"124","D","yes","con","16",3,12.1428571428571
"125","E","yes","con","17",2,12.1428571428571
"126","F","yes","con","18",19,12.1428571428571
"127","A","no","in","19",0,12.1428571428571
"128","B","no","in","20",4,12.1428571428571
"129","C","no","in","21",4,12.1428571428571
"130","D","no","in","22",1,12.1428571428571
"131","E","no","in","23",0,12.1428571428571
"132","F","no","in","24",2,12.1428571428571
"133","A","no","out","25",0,12.1428571428571
"134","B","no","out","26",2,12.1428571428571
"135","C","no","out","27",0,12.1428571428571
"136","D","no","out","28",3,12.1428571428571
"137","E","no","out","29",0,12.1428571428571
"138","F","no","out","30",2,12.1428571428571
"139","A","no","con","31",0,12.1428571428571
"140","B","no","con","32",5,12.1428571428571
"141","C","no","con","33",3,12.1428571428571
"142","D","no","con","34",0,12.1428571428571
"143","E","no","con","35",4,12.1428571428571
"144","F","no","con","36",14,12.1428571428571
"145","A","yes","in","1",0,16.1428571428571
"146","B","yes","in","2",5,16.1428571428571
"147","C","yes","in","3",2,16.1428571428571
"148","D","yes","in","4",0,16.1428571428571
"149","E","yes","in","5",0,16.1428571428571
"150","F","yes","in","6",3,16.1428571428571
"151","A","yes","out","7",0,16.1428571428571
"152","B","yes","out","8",0,16.1428571428571
"153","C","yes","out","9",3,16.1428571428571
"154","D","yes","out","10",2,16.1428571428571
"155","E","yes","out","11",0,16.1428571428571
"156","F","yes","out","12",1,16.1428571428571
"157","A","yes","con","13",0,16.1428571428571
"158","B","yes","con","14",2,16.1428571428571
"159","C","yes","con","15",6,16.1428571428571
"160","D","yes","con","16",1,16.1428571428571
"161","E","yes","con","17",1,16.1428571428571
"162","F","yes","con","18",18,16.1428571428571
"163","A","no","in","19",0,16.1428571428571
"164","B","no","in","20",1,16.1428571428571
"165","C","no","in","21",4,16.1428571428571
"166","D","no","in","22",0,16.1428571428571
"167","E","no","in","23",0,16.1428571428571
"168","F","no","in","24",4,16.1428571428571
"169","A","no","out","25",0,16.1428571428571
"170","B","no","out","26",0,16.1428571428571
"171","C","no","out","27",1,16.1428571428571
"172","D","no","out","28",2,16.1428571428571
"173","E","no","out","29",1,16.1428571428571
"174","F","no","out","30",0,16.1428571428571
"175","A","no","con","31",3,16.1428571428571
"176","B","no","con","32",1,16.1428571428571
"177","C","no","con","33",0,16.1428571428571
"178","D","no","con","34",0,16.1428571428571
"179","E","no","con","35",4,16.1428571428571
"180","F","no","con","36",21,16.1428571428571
"181","A","yes","in","1",0,24.2916666666667
"182","B","yes","in","2",5,24.2916666666667
"183","C","yes","in","3",0,24.2916666666667
"184","D","yes","in","4",0,24.2916666666667
"185","E","yes","in","5",0,24.2916666666667
"186","F","yes","in","6",2,24.2916666666667
"187","A","yes","out","7",6,24.2916666666667
"188","B","yes","out","8",1,24.2916666666667
"189","C","yes","out","9",1,24.2916666666667
"190","D","yes","out","10",0,24.2916666666667
"191","E","yes","out","11",3,24.2916666666667
"192","F","yes","out","12",8,24.2916666666667
"193","A","yes","con","13",1,24.2916666666667
"194","B","yes","con","14",1,24.2916666666667
"195","C","yes","con","15",3,24.2916666666667
"196","D","yes","con","16",0,24.2916666666667
"197","E","yes","con","17",1,24.2916666666667
"198","F","yes","con","18",9,24.2916666666667
"199","A","no","in","19",0,24.2916666666667
"200","B","no","in","20",6,24.2916666666667
"201","C","no","in","21",4,24.2916666666667
"202","D","no","in","22",0,24.2916666666667
"203","E","no","in","23",0,24.2916666666667
"204","F","no","in","24",5,24.2916666666667
"205","A","no","out","25",0,24.2916666666667
"206","B","no","out","26",4,24.2916666666667
"207","C","no","out","27",0,24.2916666666667
"208","D","no","out","28",0,24.2916666666667
"209","E","no","out","29",0,24.2916666666667
"210","F","no","out","30",0,24.2916666666667
"211","A","no","con","31",1,24.2916666666667
"212","B","no","con","32",3,24.2916666666667
"213","C","no","con","33",2,24.2916666666667
"214","D","no","con","34",2,24.2916666666667
"215","E","no","con","35",0,24.2916666666667
"216","F","no","con","36",12,24.2916666666667
"217","A","yes","in","1",0,32.7202380952381
"218","B","yes","in","2",5,32.7202380952381
"219","C","yes","in","3",0,32.7202380952381
"220","D","yes","in","4",0,32.7202380952381
"221","E","yes","in","5",0,32.7202380952381
"222","F","yes","in","6",4,32.7202380952381
"223","A","yes","out","7",0,32.7202380952381
"224","B","yes","out","8",1,32.7202380952381
"225","C","yes","out","9",1,32.7202380952381
"226","D","yes","out","10",0,32.7202380952381
"227","E","yes","out","11",0,32.7202380952381
"228","F","yes","out","12",2,32.7202380952381
"229","A","yes","con","13",1,32.7202380952381
"230","B","yes","con","14",3,32.7202380952381
"231","C","yes","con","15",1,32.7202380952381
"232","D","yes","con","16",0,32.7202380952381
"233","E","yes","con","17",2,32.7202380952381
"234","F","yes","con","18",10,32.7202380952381
"235","A","no","in","19",0,32.7202380952381
"236","B","no","in","20",7,32.7202380952381
"237","C","no","in","21",2,32.7202380952381
"238","D","no","in","22",0,32.7202380952381
"239","E","no","in","23",3,32.7202380952381
"240","F","no","in","24",4,32.7202380952381
"241","A","no","out","25",0,32.7202380952381
"242","B","no","out","26",1,32.7202380952381
"243","C","no","out","27",0,32.7202380952381
"244","D","no","out","28",0,32.7202380952381
"245","E","no","out","29",0,32.7202380952381
"246","F","no","out","30",4,32.7202380952381
"247","A","no","con","31",1,32.7202380952381
"248","B","no","con","32",2,32.7202380952381
"249","C","no","con","33",2,32.7202380952381
"250","D","no","con","34",0,32.7202380952381
"251","E","no","con","35",0,32.7202380952381
"252","F","no","con","36",13,32.7202380952381
"253","A","yes","in","1",0,42.1428571428571
"254","B","yes","in","2",6,42.1428571428571
"255","C","yes","in","3",0,42.1428571428571
"256","D","yes","in","4",0,42.1428571428571
"257","E","yes","in","5",0,42.1428571428571
"258","F","yes","in","6",3,42.1428571428571
"259","A","yes","out","7",3,42.1428571428571
"260","B","yes","out","8",2,42.1428571428571
"261","C","yes","out","9",2,42.1428571428571
"262","D","yes","out","10",2,42.1428571428571
"263","E","yes","out","11",4,42.1428571428571
"264","F","yes","out","12",1,42.1428571428571
"265","A","yes","con","13",1,42.1428571428571
"266","B","yes","con","14",7,42.1428571428571
"267","C","yes","con","15",12,42.1428571428571
"268","D","yes","con","16",1,42.1428571428571
"269","E","yes","con","17",2,42.1428571428571
"270","F","yes","con","18",14,42.1428571428571
"271","A","no","in","19",0,42.1428571428571
"272","B","no","in","20",7,42.1428571428571
"273","C","no","in","21",9,42.1428571428571
"274","D","no","in","22",0,42.1428571428571
"275","E","no","in","23",2,42.1428571428571
"276","F","no","in","24",3,42.1428571428571
"277","A","no","out","25",1,42.1428571428571
"278","B","no","out","26",1,42.1428571428571
"279","C","no","out","27",1,42.1428571428571
"280","D","no","out","28",0,42.1428571428571
"281","E","no","out","29",0,42.1428571428571
"282","F","no","out","30",2,42.1428571428571
"283","A","no","con","31",10,42.1428571428571
"284","B","no","con","32",19,42.1428571428571
"285","C","no","con","33",5,42.1428571428571
"286","D","no","con","34",1,42.1428571428571
"287","E","no","con","35",5,42.1428571428571
"288","F","no","con","36",12,42.1428571428571
