"","block","barnacles","limpets","plot","count","timediff"
"289","A","yes","in","1",0,50.7142857142857
"290","B","yes","in","2",4,50.7142857142857
"291","C","yes","in","3",1,50.7142857142857
"292","D","yes","in","4",0,50.7142857142857
"293","E","yes","in","5",0,50.7142857142857
"294","F","yes","in","6",1,50.7142857142857
"295","A","yes","out","7",0,50.7142857142857
"296","B","yes","out","8",1,50.7142857142857
"297","C","yes","out","9",1,50.7142857142857
"298","D","yes","out","10",0,50.7142857142857
"299","E","yes","out","11",2,50.7142857142857
"300","F","yes","out","12",0,50.7142857142857
"301","A","yes","con","13",1,50.7142857142857
"302","B","yes","con","14",3,50.7142857142857
"303","C","yes","con","15",1,50.7142857142857
"304","D","yes","con","16",2,50.7142857142857
"305","E","yes","con","17",1,50.7142857142857
"306","F","yes","con","18",2,50.7142857142857
"307","A","no","in","19",2,50.7142857142857
"308","B","no","in","20",2,50.7142857142857
"309","C","no","in","21",4,50.7142857142857
"310","D","no","in","22",0,50.7142857142857
"311","E","no","in","23",1,50.7142857142857
"312","F","no","in","24",4,50.7142857142857
"313","A","no","out","25",0,50.7142857142857
"314","B","no","out","26",1,50.7142857142857
"315","C","no","out","27",1,50.7142857142857
"316","D","no","out","28",0,50.7142857142857
"317","E","no","out","29",0,50.7142857142857
"318","F","no","out","30",0,50.7142857142857
"319","A","no","con","31",2,50.7142857142857
"320","B","no","con","32",5,50.7142857142857
"321","C","no","con","33",2,50.7142857142857
"322","D","no","con","34",0,50.7142857142857
"323","E","no","con","35",2,50.7142857142857
"324","F","no","con","36",1,50.7142857142857
"325","A","yes","in","1",0,56.7142857142857
"326","B","yes","in","2",8,56.7142857142857
"327","C","yes","in","3",0,56.7142857142857
"328","D","yes","in","4",0,56.7142857142857
"329","E","yes","in","5",0,56.7142857142857
"330","F","yes","in","6",6,56.7142857142857
"331","A","yes","out","7",2,56.7142857142857
"332","B","yes","out","8",0,56.7142857142857
"333","C","yes","out","9",5,56.7142857142857
"334","D","yes","out","10",0,56.7142857142857
"335","E","yes","out","11",0,56.7142857142857
"336","F","yes","out","12",1,56.7142857142857
"337","A","yes","con","13",0,56.7142857142857
"338","B","yes","con","14",1,56.7142857142857
"339","C","yes","con","15",3,56.7142857142857
"340","D","yes","con","16",1,56.7142857142857
"341","E","yes","con","17",0,56.7142857142857
"342","F","yes","con","18",14,56.7142857142857
"343","A","no","in","19",0,56.7142857142857
"344","B","no","in","20",1,56.7142857142857
"345","C","no","in","21",1,56.7142857142857
"346","D","no","in","22",0,56.7142857142857
"347","E","no","in","23",0,56.7142857142857
"348","F","no","in","24",6,56.7142857142857
"349","A","no","out","25",1,56.7142857142857
"350","B","no","out","26",2,56.7142857142857
"351","C","no","out","27",0,56.7142857142857
"352","D","no","out","28",0,56.7142857142857
"353","E","no","out","29",1,56.7142857142857
"354","F","no","out","30",2,56.7142857142857
"355","A","no","con","31",0,56.7142857142857
"356","B","no","con","32",3,56.7142857142857
"357","C","no","con","33",0,56.7142857142857
"358","D","no","con","34",0,56.7142857142857
"359","E","no","con","35",0,56.7142857142857
"360","F","no","con","36",6,56.7142857142857
