date,block,balanus,limpets,fucus_raw,fucus_cover,plot
06-06-12,A,no,con,0,0,1
06-06-12,A,no,in,0,0,2
06-06-12,A,out,no,0,0,3
06-06-12,A,yes,con,0,0,4
06-06-12,A,yes,in,0,0,5
06-06-12,A,yes,out,0,0,6
06-06-12,B,no,con,0,0,7
06-06-12,B,no,out,0,0,8
06-06-12,B,no,out,0,0,9
06-06-12,B,yes,con,0,0,10
06-06-12,B,yes,in,0,0,11
06-06-12,B,yes,out,0,0,12
06-06-12,C,no,con,0,0,13
06-06-12,C,no,in,0,0,14
06-06-12,C,no,out,0,0,15
06-06-12,C,yes,con,0,0,16
06-06-12,C,yes,in,0,0,17
06-06-12,C,yes,out,0,0,18
06-06-12,D,no,con,0,0,19
06-06-12,D,no,in,0,0,20
06-06-12,D,no,out,0,0,21
06-06-12,D,yes,con,0,0,22
06-06-12,D,yes,in,0,0,23
06-06-12,D,yes,out,0,0,24
06-06-12,E,no,con,0,0,25
06-06-12,E,no,in,0,0,26
06-06-12,E,no,out,0,0,27
06-06-12,E,yes,con,0.217,0.006027778,28
06-06-12,E,yes,in,0,0,29
06-06-12,E,yes,in,0,0,30
06-06-12,F,no,con,0,0,31
06-06-12,F,no,in,0,0,32
06-06-12,F,no,out,0,0,33
06-06-12,F,yes,con,0,0,34
06-06-12,F,yes,in,0,0,35
06-06-12,F,yes,out,0,0,36
06-07-11,A,no,con,0,0,1
06-07-11,A,no,in,0,0,2
06-07-11,A,no,out,0,0,3
06-07-11,A,yes,con,0,0,4
06-07-11,A,yes,in,0,0,5
06-07-11,A,yes,out,0,0,6
06-07-11,B,no,con,0,0,7
06-07-11,B,no,in,0,0,8
06-07-11,B,no,out,0,0,9
06-07-11,B,yes,con,0.816,0.022666667,10
06-07-11,B,yes,in,0,0,11
06-07-11,B,yes,out,0.543,0.015083333,12
06-07-11,C,no,con,0,0,13
06-07-11,C,no,in,0,0,14
06-07-11,C,no,out,0,0,15
06-07-11,C,yes,con,0.458,0.012722222,16
06-07-11,C,yes,in,0.208,0.005777778,17
06-07-11,C,yes,out,0.401,0.011138889,18
06-07-11,D,no,con,0,0,19
06-07-11,D,no,in,0,0,20
06-07-11,D,no,out,0,0,21
06-07-11,D,yes,con,0,0,22
06-07-11,D,yes,in,0,0,23
06-07-11,D,yes,out,0,0,24
06-07-11,E,no,con,0,0,25
06-07-11,E,no,in,0,0,26
06-07-11,E,no,out,0,0,27
06-07-11,E,yes,con,0.511,0.014194444,28
06-07-11,E,yes,in,0.737,0.020472222,29
06-07-11,E,yes,out,0.816,0.022666667,30
06-07-11,F,no,con,0,0,31
06-07-11,F,no,in,0,0,32
06-07-11,F,no,out,0,0,33
06-07-11,F,yes,con,0,0,34
06-07-11,F,yes,in,0.201,0.005583333,35
06-07-11,F,yes,out,0.151,0.004194444,36
06-08-11,A,no,con,0,0,1
06-08-11,A,no,in,0,0,2
06-08-11,A,no,out,0,0,3
06-08-11,A,yes,con,0,0,4
06-08-11,A,yes,in,0,0,5
06-08-11,A,yes,out,0,0,6
06-08-11,B,no,con,0,0,7
06-08-11,B,no,in,0,0,8
06-08-11,B,no,out,0,0,9
06-08-11,B,yes,con,0,0,10
06-08-11,B,yes,in,0,0,11
06-08-11,B,yes,out,1.379,0.038305556,12
06-08-11,C,no,con,0,0,13
06-08-11,C,no,in,0,0,14
06-08-11,C,no,out,0,0,15
06-08-11,C,yes,con,1,0.027777778,16
06-08-11,C,yes,in,5,0.138888889,17
06-08-11,C,yes,out,2,0.055555556,18
06-08-11,D,no,con,0,0,19
06-08-11,D,no,in,0,0,20
06-08-11,D,no,out,0,0,21
06-08-11,D,yes,con,0,0,22
06-08-11,D,yes,in,0,0,23
06-08-11,D,yes,out,0,0,24
06-08-11,E,no,con,0,0,25
06-08-11,E,no,in,0,0,26
06-08-11,E,no,out,0,0,27
06-08-11,E,yes,con,1,0.027777778,28
06-08-11,E,yes,in,1,0.027777778,29
06-08-11,E,yes,out,1,0.027777778,30
06-08-11,F,no,con,0,0,31
06-08-11,F,no,in,0,0,32
06-08-11,F,no,out,0,0,33
06-08-11,F,yes,con,0,0,34
06-08-11,F,yes,in,0,0,35
06-08-11,F,yes,out,1,0.027777778,36
06-09-08,A,no,con,0,0,1
06-09-08,A,no,in,0,0,2
06-09-08,A,no,out,0,0,3
06-09-08,A,no,out,0,0,4
06-09-08,A,yes,con,0,0,5
06-09-08,A,yes,in,0,0,6
06-09-08,B,no,con,0.156,0.004333333,7
06-09-08,B,no,in,0,0,8
06-09-08,B,no,out,0,0,9
06-09-08,B,yes,con,1.703,0.047305556,10
06-09-08,B,yes,in,1.626,0.045166667,11
06-09-08,B,yes,out,2.862,0.0795,12
06-09-08,C,no,con,0,0,13
06-09-08,C,no,in,0,0,14
06-09-08,C,no,out,0,0,15
06-09-08,C,yes,con,0.556,0.015444444,16
06-09-08,C,yes,in,2.653,0.073694444,17
06-09-08,C,yes,out,1.197,0.03325,18
06-09-08,D,no,con,0,0,19
06-09-08,D,no,in,0,0,20
06-09-08,D,no,out,0,0,21
06-09-08,D,yes,con,0,0,22
06-09-08,D,yes,in,0.163,0.004527778,23
06-09-08,D,yes,out,0,0,24
06-09-08,E,no,con,0,0,25
06-09-08,E,no,in,0,0,26
06-09-08,E,no,out,0,0,27
06-09-08,E,yes,con,0.697,0.019361111,28
06-09-08,E,yes,in,2.729,0.075805556,29
06-09-08,E,yes,out,0.966,0.026833333,30
06-09-08,F,no,con,0,0,31
06-09-08,F,no,in,0,0,32
06-09-08,F,no,out,0,0,33
06-09-08,F,yes,con,0,0,34
06-09-08,F,yes,in,0,0,35
06-09-08,F,yes,out,0.802,0.022277778,36
06-10-06,A,no,con,0,0,1
06-10-06,A,no,in,0,0,2
06-10-06,A,no,out,0,0,3
06-10-06,A,yes,con,0,0,4
06-10-06,A,yes,in,0,0,5
06-10-06,A,yes,out,0,0,6
06-10-06,B,no,con,0,0,7
06-10-06,B,no,in,0,0,8
06-10-06,B,no,out,0,0,9
06-10-06,B,yes,con,3,0.083333333,10
06-10-06,B,yes,in,0.5,0.013888889,11
06-10-06,B,yes,out,7,0.194444444,12
06-10-06,C,no,con,0,0,13
06-10-06,C,no,in,0,0,14
06-10-06,C,no,out,0,0,15
06-10-06,C,yes,con,0,0,16
06-10-06,C,yes,in,0,0,17
06-10-06,C,yes,out,0,0,18
06-10-06,D,no,con,0,0,19
06-10-06,D,no,in,0,0,20
06-10-06,D,no,out,0,0,21
06-10-06,D,yes,con,0,0,22
06-10-06,D,yes,in,0,0,23
06-10-06,D,yes,out,0,0,24
06-10-06,E,no,con,0,0,25
06-10-06,E,no,in,0,0,26
06-10-06,E,no,out,0,0,27
06-10-06,E,yes,con,3,0.083333333,28
06-10-06,E,yes,in,1,0.027777778,29
06-10-06,E,yes,out,1,0.027777778,30
06-10-06,F,no,con,0,0,31
06-10-06,F,no,in,0,0,32
06-10-06,F,no,out,0,0,33
06-10-06,F,yes,con,0,0,34
06-10-06,F,yes,in,0,0,35
06-10-06,F,yes,out,3,0.083333333,36
06-12-02,A,no,con,0,0,1
06-12-02,A,no,in,0,0,2
06-12-02,A,no,out,0,0,3
06-12-02,A,yes,con,0,0,4
06-12-02,A,yes,in,0,0,5
06-12-02,A,yes,out,0,0,6
06-12-02,B,no,con,2,0.038461538,7
06-12-02,B,no,in,0,0,8
06-12-02,B,no,out,0,0,9
06-12-02,B,yes,con,5,0.096153846,10
06-12-02,B,yes,in,3,0.057692308,11
06-12-02,B,yes,out,20,0.384615385,12
06-12-02,C,no,con,0,0,13
06-12-02,C,no,in,0.5,0.009615385,14
06-12-02,C,no,out,0,0,15
06-12-02,C,yes,con,0,0,16
06-12-02,C,yes,in,3,0.057692308,17
06-12-02,C,yes,out,1,0.019230769,18
06-12-02,D,no,con,0,0,19
06-12-02,D,no,in,0,0,20
06-12-02,D,no,out,0,0,21
06-12-02,D,yes,con,0,0,22
06-12-02,D,yes,in,3,0.057692308,23
06-12-02,D,yes,out,0,0,24
06-12-02,E,no,con,0,0,25
06-12-02,E,no,in,0,0,26
06-12-02,E,no,out,0,0,27
06-12-02,E,yes,con,5,0.096153846,28
06-12-02,E,yes,in,0,0,29
06-12-02,E,yes,out,4,0.076923077,30
06-12-02,F,no,con,0,0,31
06-12-02,F,no,in,0,0,32
06-12-02,F,no,out,0,0,33
06-12-02,F,yes,con,0,0,34
06-12-02,F,yes,in,3,0.057692308,35
06-12-02,F,yes,out,12,0.230769231,36
07-01-30,A,no,con,0,0,1
07-01-30,A,no,in,0,0,2
07-01-30,A,no,out,0,0,3
07-01-30,A,yes,con,0.5,0.009615385,4
07-01-30,A,yes,in,0,0,5
07-01-30,A,yes,out,0,0,6
07-01-30,B,no,con,1.5,0.028846154,7
07-01-30,B,no,in,0,0,8
07-01-30,B,no,out,0,0,9
07-01-30,B,yes,con,5,0.096153846,10
07-01-30,B,yes,in,1,0.019230769,11
07-01-30,B,yes,out,17,0.326923077,12
07-01-30,C,no,con,0,0,13
07-01-30,C,no,in,0,0,14
07-01-30,C,no,out,1,0.019230769,15
07-01-30,C,yes,con,0,0,16
07-01-30,C,yes,in,10,0.192307692,17
07-01-30,C,yes,out,1,0.019230769,18
07-01-30,D,no,con,0,0,19
07-01-30,D,no,in,0,0,20
07-01-30,D,no,out,0,0,21
07-01-30,D,yes,con,0,0,22
07-01-30,D,yes,in,4,0.076923077,23
07-01-30,D,yes,out,0,0,24
07-01-30,E,no,con,0,0,25
07-01-30,E,no,in,0,0,26
07-01-30,E,no,out,0,0,27
07-01-30,E,yes,con,6,0.115384615,28
07-01-30,E,yes,in,0,0,29
07-01-30,E,yes,out,8,0.153846154,30
07-01-30,F,no,con,0,0,31
07-01-30,F,no,in,0,0,32
07-01-30,F,no,out,0,0,33
07-01-30,F,yes,con,0,0,34
07-01-30,F,yes,in,3,0.057692308,35
07-01-30,F,yes,out,9,0.173076923,36
07-04-06,A,no,con,0,0,1
07-04-06,A,no,in,0,0,2
07-04-06,A,no,out,0,0,3
07-04-06,A,yes,con,1,0.027777778,4
07-04-06,A,yes,in,0,0,5
07-04-06,A,yes,out,0,0,6
07-04-06,B,no,con,0,0,7
07-04-06,B,no,in,0,0,8
07-04-06,B,no,out,3,0.083333333,9
07-04-06,B,yes,con,11,0.305555556,10
07-04-06,B,yes,in,2,0.055555556,11
07-04-06,B,yes,out,19,0.527777778,12
07-04-06,C,no,con,0,0,13
07-04-06,C,no,in,0.5,0.013888889,14
07-04-06,C,no,out,1.5,0.041666667,15
07-04-06,C,yes,con,3,0.083333333,16
07-04-06,C,yes,in,26,0.722222222,17
07-04-06,C,yes,out,4,0.111111111,18
07-04-06,D,no,con,0,0,19
07-04-06,D,no,in,0,0,20
07-04-06,D,no,out,0,0,21
07-04-06,D,yes,con,3,0.083333333,22
07-04-06,D,yes,in,17,0.472222222,23
07-04-06,D,yes,out,0,0,24
07-04-06,E,no,con,0,0,25
07-04-06,E,no,in,0,0,26
07-04-06,E,no,out,0,0,27
07-04-06,E,yes,con,19,0.527777778,28
07-04-06,E,yes,in,21,0.583333333,29
07-04-06,E,yes,out,27,0.75,30
07-04-06,F,no,con,0,0,31
07-04-06,F,no,in,0,0,32
07-04-06,F,no,out,0,0,33
07-04-06,F,yes,con,0,0,34
07-04-06,F,yes,in,0,0,35
07-04-06,F,yes,out,12,0.333333333,36
07-06-05,A,no,con,0,0,1
07-06-05,A,no,in,0,0,2
07-06-05,A,no,out,0,0,3
07-06-05,A,yes,con,3,0.057692308,4
07-06-05,A,yes,in,0,0,5
07-06-05,A,yes,out,0,0,6
07-06-05,B,no,con,0,0,7
07-06-05,B,no,in,0,0,8
07-06-05,B,no,out,0,0,9
07-06-05,B,yes,con,8,0.153846154,10
07-06-05,B,yes,in,2,0.038461538,11
07-06-05,B,yes,out,32,0.615384615,12
07-06-05,C,no,con,0,0,13
07-06-05,C,no,in,1.5,0.028846154,14
07-06-05,C,no,out,3,0.057692308,15
07-06-05,C,yes,con,5,0.096153846,16
07-06-05,C,yes,in,47,0.903846154,17
07-06-05,C,yes,out,10,0.192307692,18
07-06-05,D,no,con,0,0,19
07-06-05,D,no,in,0,0,20
07-06-05,D,no,out,0,0,21
07-06-05,D,yes,con,2,0.038461538,22
07-06-05,D,yes,in,47,0.903846154,23
07-06-05,D,yes,out,1,0.019230769,24
07-06-05,E,no,con,0,0,25
07-06-05,E,no,in,0,0,26
07-06-05,E,no,out,0,0,27
07-06-05,E,yes,con,18,0.346153846,28
07-06-05,E,yes,in,15,0.288461538,29
07-06-05,E,yes,out,34,0.653846154,30
07-06-05,F,no,con,0,0,31
07-06-05,F,no,in,0,0,32
07-06-05,F,no,out,0,0,33
07-06-05,F,yes,con,0,0,34
07-06-05,F,yes,in,1,0.019230769,35
07-06-05,F,yes,out,0,0,36
07-07-17,A,no,con,0,0,1
07-07-17,A,no,in,0,0,2
07-07-17,A,no,out,0,0,3
07-07-17,A,yes,con,3,0.057692308,4
07-07-17,A,yes,in,0,0,5
07-07-17,A,yes,out,0,0,6
07-07-17,B,no,con,0,0,7
07-07-17,B,no,in,0,0,8
07-07-17,B,no,out,0,0,9
07-07-17,B,yes,con,9,0.173076923,10
07-07-17,B,yes,in,2,0.038461538,11
07-07-17,B,yes,out,34,0.653846154,12
07-07-17,C,no,con,0,0,13
07-07-17,C,no,in,2,0.038461538,14
07-07-17,C,no,out,6,0.115384615,15
07-07-17,C,yes,con,9,0.173076923,16
07-07-17,C,yes,in,49,0.942307692,17
07-07-17,C,yes,out,13,0.25,18
07-07-17,D,no,con,0,0,19
07-07-17,D,no,in,0,0,20
07-07-17,D,no,out,0,0,21
07-07-17,D,yes,con,1.5,0.028846154,22
07-07-17,D,yes,in,25,0.480769231,23
07-07-17,D,yes,out,1,0.019230769,24
07-07-17,E,no,con,0,0,25
07-07-17,E,no,in,0,0,26
07-07-17,E,no,out,0,0,27
07-07-17,E,yes,con,3,0.057692308,28
07-07-17,E,yes,in,2,0.038461538,29
07-07-17,E,yes,out,30,0.576923077,30
07-07-17,F,no,con,0,0,31
07-07-17,F,no,in,0,0,32
07-07-17,F,no,out,0,0,33
07-07-17,F,yes,con,10,0.192307692,34
07-07-17,F,yes,in,3,0.057692308,35
07-07-17,F,yes,out,0,0,36
