date,block,barnacles,limpets,plot,Bgrec,Cdrec,#Lot,#Lot+added,#Lit,rawU,rawP,raws,rawperen,%U,%P,%s,%ephem,%peren,logBg,logCd,LogLit,t%ephem,t%peren,rawLdigchange,%Ldigchange,rawblockchange,%blockchange,cumulativeBgrec,cumulativeCdrec,log(cBg+1),log(cCd+1),note
11-Jul-06,F,yes,in,6,5,17,3,3,8,,,,,0,,,,,0.77815125,1.255272505,0.954242509,,,0,0,12,1.5,,,,,
11-Jul-06,A,yes,out,7,7,1,,,9,,,,,0,,,,,0.903089987,0.301029996,1,,,,,,,,,,,
11-Jul-06,B,yes,out,8,11,4,,,11,,,,,0,,,,,1.079181246,0.698970004,1.079181246,,,,,,,,,,,
11-Jul-06,C,yes,out,9,0,5,,,16,,,,,0,,,,,0,0.77815125,1.230448921,,,,,,,,,,,
11-Jul-06,D,yes,out,10,2,1,,,24,,,,,0,,,,,0.477121255,0.301029996,1.397940009,,,,,,,,,,,
11-Jul-06,E,yes,out,11,5,0,,,14,,,,,0,,,,,0.77815125,0,1.176091259,,,,,,,,,,,
11-Jul-06,F,yes,out,12,8,27,,,17,,,,,0,,,,,0.954242509,1.447158031,1.255272505,,,,,,,,,,,
11-Jul-06,A,yes,con,13,16,1,1,1,16,,,,,0,,,,,1.230448921,0.301029996,1.230448921,,,-8,-0.888888889,,,,,,,
11-Jul-06,B,yes,con,14,22,10,9,9,18,,,,,0,,,,,1.361727836,1.041392685,1.278753601,,,1,0.125,,,,,,,
11-Jul-06,C,yes,con,15,9,1,7,7,35,,,,,0,,,,,1,0.301029996,1.556302501,,,4,1.333333333,,,,,,,
11-Jul-06,D,yes,con,16,15,0,4,4,21,,,,,0,,,,,1.204119983,0,1.342422681,,,0,0,,,,,,,
11-Jul-06,E,yes,con,17,22,0,0,0,3,,,,,0,,,,,1.361727836,0,0.602059991,,,-2,-1,,,,,,,
11-Jul-06,F,yes,con,18,12,24,4,4,8,,,,,0,,,,,1.113943352,1.397940009,0.954242509,,,3,3,,,,,,,
11-Jul-06,A,no,in,19,4,0,3,3,3,,,,,0,,,,,0.698970004,0,0.602059991,,,-3,-0.5,,,,,,,
