date,time,number,temp
06/24/2006,7:01:00,1,11.5
06/24/2006,8:01:00,1,12
06/24/2006,9:01:00,1,18
06/24/2006,10:01:00,1,23.5
06/24/2006,11:01:00,1,27
06/24/2006,12:01:00,1,30.5
06/24/2006,13:01:00,1,34
06/24/2006,14:01:00,1,36.5
06/24/2006,15:01:00,1,38.5
06/24/2006,16:01:00,1,37.5
06/24/2006,17:01:00,1,36
06/24/2006,18:01:00,1,35
06/24/2006,19:01:00,1,31
06/24/2006,20:01:00,1,26.5
06/24/2006,21:01:00,1,23
06/24/2006,22:01:00,1,20
06/24/2006,23:01:00,1,17.5
06/25/2006,0:01:00,1,16.5
06/25/2006,1:01:00,1,15.5
06/25/2006,2:01:00,1,15
06/25/2006,3:01:00,1,14
06/25/2006,4:01:00,1,14
06/25/2006,5:01:00,1,13.5
06/25/2006,6:01:00,1,13
06/25/2006,7:01:00,1,13
06/25/2006,8:01:00,1,13.5
06/25/2006,9:01:00,1,19.5
06/25/2006,10:01:00,1,24.5
06/25/2006,11:01:00,1,28
06/25/2006,12:01:00,1,32
06/25/2006,13:01:00,1,37
06/25/2006,14:01:00,1,33
06/25/2006,15:01:00,1,37.5
06/25/2006,16:01:00,1,37
06/25/2006,17:01:00,1,35.5
06/25/2006,18:01:00,1,33.5
06/25/2006,19:01:00,1,30.5
06/25/2006,20:01:00,1,27
06/25/2006,21:01:00,1,23
06/25/2006,22:01:00,1,20.5
06/25/2006,23:01:00,1,17.5
06/26/2006,0:01:00,1,15
06/26/2006,1:01:00,1,15
06/26/2006,2:01:00,1,14.5
06/26/2006,3:01:00,1,14
06/26/2006,4:01:00,1,13.5
06/26/2006,5:01:00,1,13
06/26/2006,6:01:00,1,12.5
06/26/2006,7:01:00,1,13
06/26/2006,8:01:00,1,13.5
06/26/2006,9:01:00,1,19
06/26/2006,10:01:00,1,24.5
06/26/2006,11:01:00,1,30
06/26/2006,12:01:00,1,34
06/26/2006,13:01:00,1,36
06/26/2006,14:01:00,1,30
06/26/2006,15:01:00,1,28
06/26/2006,16:01:00,1,28.5
06/26/2006,17:01:00,1,31.5
06/26/2006,18:01:00,1,30.5
06/26/2006,19:01:00,1,28
06/26/2006,20:01:00,1,24.5
06/26/2006,21:01:00,1,20
06/26/2006,22:01:00,1,18
06/26/2006,23:01:00,1,16
06/27/2006,0:01:00,1,14.5
06/27/2006,1:01:00,1,13.5
06/27/2006,2:01:00,1,12.5
06/27/2006,3:01:00,1,12.5
06/27/2006,4:01:00,1,12
06/27/2006,5:01:00,1,12
06/27/2006,6:01:00,1,12
06/27/2006,7:01:00,1,12
06/27/2006,8:01:00,1,12.5
