date,sp,barnacles,size_mm
2007-10-27,ldig,yes,8.159
2007-10-27,ldig,yes,9.507
2007-10-27,ldig,yes,8.097
2007-10-27,ldig,yes,7.425
2007-10-27,ldig,yes,10.984
2007-10-27,ldig,yes,9.972
2007-10-27,ldig,yes,9.091
2007-10-27,ldig,yes,11.527
2007-10-27,ldig,yes,9.163
2007-10-27,ldig,yes,10.55
2007-10-27,ldig,yes,10.277
2007-10-27,ldig,yes,10.485
2007-10-27,ldig,yes,8.348
2007-10-27,ldig,yes,9.751
2006-10-06,lsc,yes,6.38
2006-10-06,lsc,yes,6.01
2006-10-06,lsc,yes,4.75
2006-10-06,lsc,yes,1.92
2006-10-06,lsc,yes,1.78
2006-10-06,lsc,yes,2.25
2006-10-06,lsc,yes,2.15
2006-10-06,lsc,yes,2.31
2006-10-06,lsc,yes,4.61
2006-10-06,lsc,yes,3.39
2006-10-06,lsc,yes,3.3
2006-10-06,lsc,yes,3.46
2006-10-06,lsc,yes,2.39
2007-04-06,lsc,yes,4.1
2007-04-06,lsc,yes,3.12
2007-04-06,lsc,yes,4.31
2007-04-06,lsc,yes,5.22
2007-04-06,lsc,yes,4.17
2007-04-06,lsc,yes,3.56
2007-04-06,lsc,yes,5.52
2007-04-06,lsc,yes,3.61
2007-04-06,lsc,yes,2.46
2007-04-06,lsc,yes,3.4
2007-04-06,lsc,no,4.07
2007-04-06,lsc,no,2.29
2007-04-06,lsc,no,2.21
2007-04-06,lsc,yes,2.42
2007-04-06,lsc,yes,2.49
2007-04-06,lsc,no,3.57
2007-04-06,lsc,no,3.3
2007-04-06,lsc,yes,3.16
2007-04-06,lsc,yes,2.83
2007-04-06,lsc,yes,2.91
2007-04-06,lsc,yes,2.97
2007-04-06,lsc,yes,1.7
2007-04-06,lsc,no,3.15
2007-04-06,lsc,yes,3.61
2007-04-06,lsc,yes,4.13
2007-04-06,lsc,yes,4.82
2007-04-06,lsc,yes,3.07
2007-04-06,lsc,yes,4.04
2007-10-27,lsc,yes,1.78
2007-10-27,lsc,yes,2.7
2007-10-27,lsc,yes,2.08
2007-10-27,lsc,yes,4.92
2007-10-27,lsc,yes,5.21
2007-10-27,lsc,yes,5.47
2007-10-27,lsc,yes,3.71
2007-10-27,lsc,yes,4.17
2007-10-27,lsc,yes,4.39
2007-10-27,lsc,yes,6.47
2007-10-27,lsc,yes,3.72
2007-10-27,lsc,yes,2.5
2007-10-27,lsc,yes,2.64
2007-10-27,lsc,yes,2.88
2007-10-27,lsc,yes,3.05
2007-10-27,lsc,yes,2.49
2007-10-27,lsc,yes,3.65
2007-10-27,lsc,yes,2.22
2007-10-27,lsc,yes,6.1
2007-10-27,lsc,yes,1.83
2007-10-27,lsc,yes,2.75
2007-10-27,lsc,yes,2.14
2007-10-27,lsc,yes,3.76
2007-10-27,lsc,yes,2.89
2007-10-27,lsc,yes,2.92
2007-10-27,lsc,yes,1.9
2007-10-27,lsc,yes,1.7
2007-10-27,lsc,yes,3.15
2007-10-27,lsc,yes,3.17
2007-10-27,ldig,yes,8.63
2007-10-27,ldig,yes,8.92
2006-10-06,lsc,yes,3.123
2006-10-06,lsc,yes,2.673
2006-10-06,lsc,yes,2.645
2006-10-06,lsc,yes,2.469
2006-10-06,lsc,yes,4.407
2006-10-06,lsc,yes,2.922
2006-10-06,lsc,yes,3.384
2006-10-06,lsc,yes,6.549
2006-10-06,lsc,yes,4.162
2006-10-06,ldig,yes,10.925
2006-10-06,ldig,yes,9.088
2006-10-06,ldig,yes,12.083
2006-10-06,lsc,yes,2.538
2006-10-06,lsc,yes,3.032
2006-10-06,lsc,yes,2.287
2006-10-06,lsc,yes,2.744
2006-10-06,lsc,yes,3.193
2006-10-06,lsc,yes,2.95
2006-10-06,lsc,yes,3.443
2006-10-06,lsc,yes,1.964
2006-10-06,lsc,yes,3.2
2006-10-06,lsc,yes,1.823
2006-10-06,lsc,yes,2.546
2006-10-06,lsc,yes,1.984
2006-10-06,lsc,yes,2.407
2006-10-06,lsc,yes,3.822
2006-10-06,lsc,yes,3.957
2006-10-06,lsc,yes,4.422
2006-10-06,lsc,yes,2.812
2006-10-06,lsc,yes,4.222
2006-10-06,lsc,yes,2.398
2006-10-06,lsc,yes,2.366
2006-10-06,lsc,yes,2.619
2006-10-06,lsc,yes,1.727
2006-10-06,lsc,yes,2.359
2006-10-06,lsc,yes,4.737
2006-10-06,lsc,yes,1.973
2006-10-06,lsc,yes,2.986
2007-04-06,lsc,yes,3.425
2007-04-06,lsc,yes,3.023
2007-04-06,lsc,yes,3.451
2007-04-06,lsc,yes,3.033
2007-04-06,lsc,yes,3.203
2007-04-06,lsc,yes,2.612
2007-04-06,lsc,yes,5.389
2007-04-06,lsc,yes,2.705
2007-04-06,lsc,yes,2.535
2007-04-06,lsc,yes,2.061
2007-04-06,lsc,yes,2.204
2007-04-06,lsc,yes,3.131
2007-04-06,lsc,yes,2.639
2007-04-06,lsc,yes,2.177
2007-04-06,lsc,yes,2.037
2007-04-06,lsc,yes,3.036
2007-04-06,lsc,yes,2.803
2007-04-06,lsc,yes,2.648
2007-04-06,lsc,yes,2.416
2007-04-06,lsc,yes,3.224
2007-04-06,lsc,yes,4.134
2007-04-06,lsc,yes,3.44
2007-04-06,lsc,yes,2.805
2007-04-06,lsc,yes,1.97
2007-04-06,lsc,yes,2.805
2007-04-06,lsc,yes,3.147
